duration_minutes,guest,date,session,anonymized_name
1,Yes,14.11.2023,3,99714317d301e083d1237944aebac759
2,Yes,14.11.2023,3,3c17bee6c4015332a6027d78772f2370
95,No,16.11.2023,4,def38455859ad75e499820e9747f215d
95,Yes,16.11.2023,4,36562a7f476a9bd1577a82ddd6d3d8aa
2,No,16.11.2023,4,68ad54301392889b4d05cb42d9569d48
90,Yes,16.11.2023,4,83396c31f027f73afd39ea4a97e612bf
78,Yes,16.11.2023,4,a309fd57d7d8ee417bc86b6dfb33604b
32,Yes,16.11.2023,4,d439e83aeac0d78e37b128ef0ee8cda7
167,No,21.11.2023,5,def38455859ad75e499820e9747f215d
154,No,21.11.2023,5,68ad54301392889b4d05cb42d9569d48
105,Yes,21.11.2023,5,b5ba3569779f8fe9c002bed17f16ad4b
158,Yes,21.11.2023,5,dab55e08396a1d04198b0789cbba6e6b
59,Yes,21.11.2023,5,1ca2b7924de9d3883dd5f3bc8cd47b60
157,Yes,21.11.2023,5,0573bf3b89a34ea041726c1efe329e73
124,Yes,21.11.2023,5,21aa9f49610aaedbb3ca6d156091c78f
158,Yes,21.11.2023,5,b9e887e8f7035380f3fd3fc885b7fbbd
116,Yes,21.11.2023,5,038845742b9fbe8f4b8d47bfb4d6d0a5
156,Yes,21.11.2023,5,de588f921dc4657bdc81e111cf470d41
156,Yes,21.11.2023,5,9a76e47b6130de2a16b09eb2e0731633
147,Yes,21.11.2023,5,dfc523d9490bc948f33b1be6d6b74fbc
155,Yes,21.11.2023,5,97c345d56f4617f76d82d6f6e2d58bac
236,Yes,21.11.2023,5,8dbc17f28aed486f505d1395c384d49e
155,Yes,21.11.2023,5,297c21840007b94da0bf65f2a8d6632f
144,Yes,21.11.2023,5,36562a7f476a9bd1577a82ddd6d3d8aa
155,Yes,21.11.2023,5,d47d45687a49e2d54ce5a0d0fad941aa
58,Yes,21.11.2023,5,51ad280f9856c6a165476a7d2ea849e3
74,Yes,21.11.2023,5,47baa31e8261188722c4cbd817b91e41
153,Yes,21.11.2023,5,83396c31f027f73afd39ea4a97e612bf
153,Yes,21.11.2023,5,0c73c79ec85d48d0be5a94fe41b17d16
43,Yes,21.11.2023,5,99b13c654238e52c5fcb07f0e98b7995
37,Yes,21.11.2023,5,e80c9bbde1987fdf494f3da1e16f390a
42,Yes,21.11.2023,5,3194612623ba7dd35ccf4f6b3db9ac3f
150,Yes,21.11.2023,5,42905878d06231c83f7c6a203a303e57
44,Yes,21.11.2023,5,eee6cebd0262e157371b496ab1be3ee4
37,Yes,21.11.2023,5,a9f17aeec118d45d9ce7a9d36735187c
149,Yes,21.11.2023,5,38c60f03926d5f96b3a72b3742f939eb
152,Yes,21.11.2023,5,7804c7c63475b68cb15c86dc4383383d
151,Yes,21.11.2023,5,dfd934bb655df40fe9d254ed40fb0ef8
152,Yes,21.11.2023,5,74cf46aacf8eb059e46a061995c249c0
153,Yes,21.11.2023,5,6aefa2a8994450e4acfa222b2043d309
52,Yes,21.11.2023,5,7760b54f9ca2242fcc66b88bba920f36
43,Yes,21.11.2023,5,a76b39678ad4673f84182953d5e19e2f
56,Yes,21.11.2023,5,00ca4671e09e5ecf98faecb9bbfbba35
128,Yes,21.11.2023,5,bebc50c2d289eef1dede92f5fe546442
152,Yes,21.11.2023,5,cc02ff795ad49839a6317c7643db9ed4
151,Yes,21.11.2023,5,b152b1912798603cfb1ac6689b09f970
40,Yes,21.11.2023,5,ba3b76e81df859d9f5d003cda3764bb0
152,No,21.11.2023,5,13dde46356dd0bff6c6ce8c89a92adba
151,Yes,21.11.2023,5,6c66c6454bbed93bb3f853728569f7c5
151,Yes,21.11.2023,5,7923675bb048eba4791247be71aa781e
51,Yes,21.11.2023,5,06d5e326ab92470b956db55817b44ef9
151,Yes,21.11.2023,5,46cbb3253205c46166da5cb3853ebdd8
151,Yes,21.11.2023,5,7fabe495f583b8fd97054faa03a5e889
150,Yes,21.11.2023,5,d79ad30eff417f87bdff58aefcf4dcf4
150,Yes,21.11.2023,5,253e8d0a241fb49e4b7058eaa17f0bd6
117,Yes,21.11.2023,5,d0f99d835b2b5da95fde5e4cdd84e681
150,Yes,21.11.2023,5,5e7c99207a86a93eaf8f73bb76c13f30
120,Yes,21.11.2023,5,b8f6e60e49dbc3a7b6ce16a6a723e37c
31,Yes,21.11.2023,5,73fe85a58705434af0f04d0695edd2ed
85,Yes,21.11.2023,5,92838c02b4ab4f82f59b302ca88d20a8
75,Yes,21.11.2023,5,38a6f49fa144e11ecdfa2e91877563dd
40,Yes,21.11.2023,5,0d4cb5de3150d871ab956b6dbd2890b8
4,Yes,21.11.2023,5,d0ee1b46106d5b2b7db5a65d0a298574
141,Yes,21.11.2023,5,a309fd57d7d8ee417bc86b6dfb33604b
127,Yes,21.11.2023,5,571482e7e35939d9ac43f01a7739c389
148,Yes,21.11.2023,5,add7664d1982a1e7ce45695a3455faae
30,Yes,21.11.2023,5,2e523c065cbdf65bf746355a2b243b5f
147,Yes,21.11.2023,5,bb472d996ed67c08264ffe65e47f1a16
146,Yes,21.11.2023,5,24a35d39797accdd11667932b4f347d9
47,Yes,21.11.2023,5,67a48c174d11eebd86b114e9252fd5ab
